bug_id, status, num_new_bugs, hunks_new_bugs
2, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
7, INDIVISIBLE, 0, 2
5, INDIVISIBLE, 0, 2
22, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
21, NO_DATA, 0, NONE
20, INDIVISIBLE, 0, 3
6, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
14, INDIVISIBLE, 0, 2
18, INDIVISIBLE, 0, 2
10, INDIVISIBLE, 0, 2
17, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
27, INDIVISIBLE, 0, 2
8, VALID_DIVISIBLE_BUG, 2, 2.3.
1, INVALID_DIVISIBLE_BUG, NO_DATA, NONE
13, VALID_DIVISIBLE_BUG, 1, 3
STATSTICS, Divisible=7, Indivisible=7, Isolated=3
